Rank	Name	NA_Sales	EU_Sales	JP_Sales	Other_Sales
1	Wii Sports	41.49	29.02	3.77	8.46
2	Super Mario Bros.	29.08	3.58	6.81	0.77
3	Mario Kart Wii	15.85	12.88	3.79	3.31
4	Wii Sports Resort	15.75	11.01	3.28	2.96
5	Pokemon Red/Pokemon Blue	11.27	8.89	10.22	1
6	Tetris	23.2	2.26	4.22	0.58
7	New Super Mario Bros.	11.38	9.23	6.5	2.9
8	Wii Play	14.03	9.2	2.93	2.85
9	New Super Mario Bros. Wii	14.59	7.06	4.7	2.26
10	Duck Hunt	26.93	0.63	0.28	0.47
11	Nintendogs	9.07	11	1.93	2.75
12	Mario Kart DS	9.81	7.57	4.13	1.92
13	Pokemon Gold/Pokemon Silver	9	6.18	7.2	0.71
14	Wii Fit	8.94	8.03	3.6	2.15
15	Wii Fit Plus	9.09	8.59	2.53	1.79
16	Kinect Adventures!	14.97	4.94	0.24	1.67
17	Grand Theft Auto V	7.01	9.27	0.97	4.14
18	Grand Theft Auto: San Andreas	9.43	0.4	0.41	10.57
19	Super Mario World	12.78	3.75	3.54	0.55
20	Brain Age: Train Your Brain in Minutes a Day	4.75	9.26	4.16	2.05
21	Pokemon Diamond/Pokemon Pearl	6.42	4.52	6.04	1.37
22	Super Mario Land	10.83	2.71	4.18	0.42
23	Super Mario Bros. 3	9.54	3.44	3.84	0.46
24	Grand Theft Auto V	9.63	5.31	0.06	1.38
25	Grand Theft Auto: Vice City	8.41	5.49	0.47	1.78
26	Pokemon Ruby/Pokemon Sapphire	6.06	3.9	5.38	0.5
27	Pokemon Black/Pokemon White	5.57	3.28	5.65	0.82
28	Brain Age 2: More Training in Minutes a Day	3.44	5.36	5.32	1.18
29	Gran Turismo 3: A-Spec	6.85	5.09	1.87	1.16
30	Call of Duty: Modern Warfare 3	9.03	4.28	0.13	1.32
31	Pok‹¨«‹¨«mon Yellow: Special Pikachu Edi	5.89	5.04	3.12	0.59
32	Call of Duty: Black Ops	9.67	3.73	0.11	1.13
33	Pokemon X/Pokemon Y	5.17	4.05	4.34	0.79
34	Call of Duty: Black Ops 3	5.77	5.81	0.35	2.31
35	Call of Duty: Black Ops II	4.99	5.88	0.65	2.52
36	Call of Duty: Black Ops II	8.25	4.3	0.07	1.12
37	Call of Duty: Modern Warfare 2	8.52	3.63	0.08	1.29
38	Call of Duty: Modern Warfare 3	5.54	5.82	0.49	1.62
39	Grand Theft Auto III	6.99	4.51	0.3	1.3
40	Super Smash Bros. Brawl	6.75	2.61	2.66	1.02
41	Call of Duty: Black Ops	5.98	4.44	0.48	1.83
42	Animal Crossing: Wild World	2.55	3.52	5.33	0.88
43	Mario Kart 7	4.74	3.91	2.67	0.89
44	Halo 3	7.97	2.83	0.13	1.21
45	Grand Theft Auto V	3.8	5.81	0.36	2.02
46	Pokemon HeartGold/Pokemon SoulSilver	4.4	2.77	3.96	0.77
47	Super Mario 64	6.91	2.85	1.91	0.23
48	Gran Turismo 4	3.01	0.01	1.1	7.53
49	Super Mario Galaxy	6.16	3.4	1.2	0.76
50	Pokemon Omega Ruby/Pokemon Alpha Sapphire	4.23	3.37	3.08	0.65
51	Super Mario Land 2: 6 Golden Coins	6.16	2.04	2.69	0.29
52	Grand Theft Auto IV	6.76	3.1	0.14	1.03
53	Gran Turismo	4.02	3.87	2.54	0.52
54	Super Mario 3D Land	4.89	2.99	2.13	0.78
55	Gran Turismo 5	2.96	4.88	0.81	2.12
56	Call of Duty: Modern Warfare 2	4.99	3.69	0.38	1.63
57	Grand Theft Auto IV	4.76	3.76	0.44	1.62
58	Super Mario All-Stars	5.99	2.15	2.12	0.29
59	Pokemon FireRed/Pokemon LeafGreen	4.34	2.65	3.15	0.35
60	Super Mario 64	5.08	3.11	1.25	0.98
61	Just Dance 3	6.05	3.15	0	1.07
62	Call of Duty: Ghosts	6.72	2.63	0.04	0.82
63	Halo: Reach	7.03	1.98	0.08	0.78
64	Mario Kart 64	5.55	1.94	2.23	0.15
65	New Super Mario Bros. 2	3.66	3.07	2.47	0.63
66	Halo 4	6.63	2.36	0.04	0.73
67	Final Fantasy VII	3.01	2.47	3.28	0.96
68	Call of Duty: Ghosts	4.09	3.73	0.38	1.38
69	Just Dance 2	5.84	2.89	0.01	0.78
70	Gran Turismo 2	3.88	3.42	1.69	0.5
71	Call of Duty 4: Modern Warfare	5.91	2.38	0.13	0.9
72	Donkey Kong Country	4.36	1.71	3	0.23
73	Minecraft	5.58	2.83	0.02	0.77
74	Animal Crossing: New Leaf	2.01	2.32	4.36	0.41
75	Mario Party DS	4.46	1.88	1.98	0.7
76	The Elder Scrolls V: Skyrim	5.03	2.86	0.1	0.85
77	Super Mario Kart	3.54	1.24	3.81	0.18
78	FIFA 16	1.11	6.06	0.06	1.26
79	Wii Party	1.79	3.53	2.49	0.68
80	Halo 2	6.82	1.53	0.05	0.08
81	Mario Party 8	3.81	2.3	1.58	0.73
82	Pokemon Black 2/Pokemon White 2	2.91	1.86	3.14	0.43
83	FIFA Soccer 13	1.06	5.05	0.13	2.01
84	The Sims 3	0.98	6.42	0	0.71
85	GoldenEye 007	5.8	2.01	0.13	0.15
86	Mario & Sonic at the Olympic Games	2.58	3.9	0.66	0.91
87	Final Fantasy X	2.91	2.07	2.73	0.33
88	Final Fantasy VIII	2.28	1.72	3.63	0.23
89	Pok‹¨«‹¨«mon Platinum Ver	2.82	1.78	2.69	0.55
90	Pac-Man	7.28	0.45	0	0.08
91	Grand Theft Auto: Liberty City Stories	2.9	2.83	0.24	1.75
92	Super Mario Galaxy 2	3.66	2.42	0.98	0.64
